date,highly sensitive person,hypersensible,anger management,gestion colere,time tracking freelance,facturation freelance
2023-02-19,58,48,76,1,0,0
2023-02-26,54,51,72,0,0,0
2023-03-05,70,49,70,1,0,0
2023-03-12,58,43,67,0,0,0
2023-03-19,53,47,71,0,0,0
2023-03-26,49,54,71,0,0,0
2023-04-02,64,52,68,0,0,0
2023-04-09,52,58,65,0,0,0
2023-04-16,47,53,63,0,0,0
2023-04-23,52,56,64,1,0,0
2023-04-30,51,56,68,0,0,0
2023-05-07,51,61,68,0,0,0
2023-05-14,46,51,66,0,0,0
2023-05-21,53,50,63,0,0,0
2023-05-28,53,55,62,0,0,0
2023-06-04,52,49,66,0,0,0
2023-06-11,51,54,68,0,0,0
2023-06-18,48,53,64,0,0,0
2023-06-25,51,52,66,0,0,0
2023-07-02,62,50,60,0,0,0
2023-07-09,58,45,68,0,0,0
2023-07-16,52,51,65,0,0,0
2023-07-23,58,57,66,0,0,0
2023-07-30,56,55,66,0,0,0
2023-08-06,58,57,64,1,0,0
2023-08-13,51,62,66,0,0,0
2023-08-20,52,60,64,1,0,0
2023-08-27,52,67,65,1,0,0
2023-09-03,53,51,58,0,0,0
2023-09-10,52,48,63,0,0,0
2023-09-17,52,46,68,0,27,0
2023-09-24,51,48,67,1,0,0
2023-10-01,47,44,66,0,0,0
2023-10-08,43,50,65,1,0,0
2023-10-15,49,55,63,0,0,0
2023-10-22,48,45,62,0,0,0
2023-10-29,51,45,67,0,0,0
2023-11-05,54,44,74,0,0,0
2023-11-12,51,51,74,0,0,0
2023-11-19,49,45,70,0,0,0
2023-11-26,56,48,76,0,0,0
2023-12-03,47,50,69,0,0,0
2023-12-10,52,47,62,0,0,0
2023-12-17,51,51,58,0,0,0
2023-12-24,49,46,59,1,0,0
2023-12-31,53,48,61,0,0,0
2024-01-07,44,47,66,0,0,0
2024-01-14,54,53,69,1,0,0
2024-01-21,58,51,81,0,0,0
2024-01-28,51,52,85,1,0,0
2024-02-04,51,53,77,1,0,0
2024-02-11,47,44,71,1,0,0
2024-02-18,50,56,74,0,0,0
2024-02-25,44,50,75,1,0,0
2024-03-03,51,52,71,0,0,0
2024-03-10,53,50,64,0,0,0
2024-03-17,57,50,67,0,0,0
2024-03-24,54,46,69,1,0,0
2024-03-31,54,46,78,1,0,0
2024-04-07,51,49,76,1,0,0
2024-04-14,46,40,83,1,0,0
2024-04-21,45,48,84,1,0,0
2024-04-28,49,45,100,1,0,0
2024-05-05,44,44,64,1,0,0
2024-05-12,45,45,84,0,0,0
2024-05-19,48,46,67,0,0,0
2024-05-26,46,53,61,1,0,0
2024-06-02,43,47,65,0,0,0
2024-06-09,42,41,66,0,0,0
2024-06-16,45,47,65,0,0,0
2024-06-23,40,39,68,0,0,0
2024-06-30,41,39,63,0,0,0
2024-07-07,44,47,74,0,0,0
2024-07-14,43,42,73,0,0,0
2024-07-21,42,43,71,0,0,0
2024-07-28,44,37,63,0,0,0
2024-08-04,43,42,64,0,0,0
2024-08-11,44,48,68,0,0,0
2024-08-18,48,48,70,0,0,0
2024-08-25,46,46,65,0,0,0
2024-09-01,40,50,70,1,0,0
2024-09-08,44,46,65,0,0,0
2024-09-15,45,57,71,0,0,0
2024-09-22,50,48,64,0,0,0
2024-09-29,45,49,63,1,0,0
2024-10-06,48,45,67,0,0,0
2024-10-13,48,48,63,1,0,0
2024-10-20,47,48,64,1,0,0
2024-10-27,45,54,62,0,0,0
2024-11-03,45,53,60,1,0,0
2024-11-10,43,52,64,1,0,0
2024-11-17,46,47,67,1,0,0
2024-11-24,38,46,57,0,0,0
2024-12-01,41,54,64,0,0,0
2024-12-08,44,51,60,0,0,0
2024-12-15,40,45,59,0,0,0
2024-12-22,40,58,55,0,0,0
2024-12-29,41,54,59,0,0,0
2025-01-05,48,54,59,1,0,0
2025-01-12,49,52,67,0,0,0
2025-01-19,49,49,63,1,0,0
2025-01-26,53,55,76,0,0,0
2025-02-02,43,42,70,0,0,0
2025-02-09,46,47,65,0,0,0
2025-02-16,45,47,69,1,0,0
2025-02-23,43,43,82,0,0,0
2025-03-02,45,41,73,0,0,0
2025-03-09,42,47,68,1,0,0
2025-03-16,40,44,68,0,0,0
2025-03-23,39,44,69,1,0,0
2025-03-30,45,45,68,1,0,0
2025-04-06,36,43,65,1,0,0
2025-04-13,36,38,64,1,0,0
2025-04-20,44,38,64,0,0,0
2025-04-27,43,38,70,0,0,0
2025-05-04,40,41,65,0,38,0
2025-05-11,39,42,65,0,0,38
2025-05-18,44,45,66,0,0,0
2025-05-25,39,36,62,1,0,0
2025-06-01,43,41,68,0,0,0
2025-06-08,41,38,68,0,35,0
2025-06-15,38,39,70,0,68,0
2025-06-22,44,36,70,1,0,0
2025-06-29,41,37,67,0,0,0
2025-07-06,43,33,76,0,0,0
2025-07-13,41,35,81,0,0,0
2025-07-20,42,35,80,0,0,0
2025-07-27,47,39,88,0,0,0
2025-08-03,52,37,90,0,0,0
2025-08-10,61,39,83,0,43,0
2025-08-17,56,35,83,0,54,0
2025-08-24,52,40,86,0,0,37
2025-08-31,56,40,80,0,64,0
2025-09-07,47,35,94,0,35,35
2025-09-14,47,33,90,0,0,0
2025-09-21,52,34,89,0,54,0
2025-09-28,48,39,82,1,53,32
2025-10-05,44,38,82,0,40,0
2025-10-12,50,38,78,1,40,0
2025-10-19,51,36,81,0,0,0
2025-10-26,41,31,77,0,35,0
2025-11-02,46,35,80,0,38,0
2025-11-09,46,37,80,0,41,0
2025-11-16,49,34,79,1,39,0
2025-11-23,47,35,69,0,35,0
2025-11-30,50,32,75,0,100,34
2025-12-07,49,36,73,1,59,0
2025-12-14,45,34,75,0,43,35
2025-12-21,43,36,61,0,0,0
2025-12-28,45,33,68,0,53,0
2026-01-04,42,31,79,0,49,47
2026-01-11,43,42,83,0,79,35
2026-01-18,40,43,86,0,54,35
2026-01-25,47,32,82,0,0,0
2026-02-01,48,33,91,0,49,0
2026-02-08,50,33,86,0,65,41
2026-02-15,46,33,100,0,70,0
2026-02-22,45,36,98,0,56,31
2026-03-01,58,34,91,1,72,74
2026-03-08,56,35,87,0,48,51
2026-03-15,63,29,97,0,98,30
2026-03-22,62,32,94,0,49,2
2026-03-29,37,30,71,0,32,13
2026-04-05,40,28,73,0,34,11
